   ,System Time  ,Elapsed Time (sec) ,CPU Utilization(%) ,Processor Power_0(Watt) ,DRAM Power_0(Watt) ,Cumulative DRAM Energy_0(Joules) ,Time            ,Process CPU Usage(%) ,timestamp               ,power.draw [W] ,Process CPU Power(Watt)
 0 ,12:26:42:583 ,             0.136 ,              69.0 ,                 27.631 ,             2.119 ,                           0.289 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.608 ,          3.95 ,                 7.1979
 1 ,12:26:42:722 ,             0.274 ,              52.0 ,                 23.315 ,             1.753 ,                           0.531 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.608 ,          3.95 ,                 6.0736
 2 ,12:26:42:846 ,             0.399 ,              41.0 ,                 21.979 ,             1.554 ,                           0.725 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.608 ,          3.95 ,                 5.7255
 3 ,12:26:42:971 ,             0.523 ,              53.0 ,                 23.861 ,             1.717 ,                           0.938 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.608 ,          3.95 ,                 6.2158
 4 ,12:26:43:189 ,             0.742 ,              69.0 ,                 25.471 ,             1.671 ,                           1.304 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.608 ,          3.95 ,                 6.6352
 5 ,12:26:43:297 ,             0.849 ,              52.0 ,                 25.951 ,             1.593 ,                           1.474 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.608 ,          3.95 ,                 6.7602
 6 ,12:26:43:420 ,             0.973 ,              45.0 ,                 23.043 ,             1.371 ,                           1.644 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.608 ,          3.95 ,                 6.0027
 7 ,12:26:43:545 ,             1.097 ,              56.0 ,                 26.028 ,             1.531 ,                           1.834 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.608 ,          3.95 ,                 6.7803
 8 ,12:26:43:701 ,             1.254 ,              39.0 ,                 24.043 ,             1.47  ,                           2.065 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.717 ,          2.39 ,                 6.2632
 9 ,12:26:43:828 ,             1.38  ,              57.0 ,                 26.101 ,             1.696 ,                           2.279 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.828 ,          2.37 ,                 6.7993
10 ,12:26:43:951 ,             1.504 ,              39.0 ,                 21.951 ,             1.429 ,                           2.455 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:43.935 ,          2.37 ,                 5.7182
11 ,12:26:44:063 ,             1.616 ,              26.0 ,                  8.946 ,             1.321 ,                           2.604 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:44.047 ,          2.32 ,                 2.3304
12 ,12:26:44:169 ,             1.722 ,              23.0 ,                  5.832 ,             1.246 ,                           2.736 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:44.154 ,          2.28 ,                 1.5192
13 ,12:26:44:279 ,             1.832 ,              24.0 ,                  6.779 ,             1.234 ,                           2.871 ,12:26:44:265903 ,              26.05  ,2022/06/21 12:26:44.263 ,          2.25 ,                 1.7659
14 ,12:26:44:404 ,             1.957 ,              38.0 ,                 24.242 ,             1.286 ,                           3.032 ,12:26:44:406409 ,              24.425 ,2022/06/21 12:26:44.373 ,          2.29 ,                 5.9211
15 ,12:26:44:528 ,             2.081 ,              37.0 ,                 21.226 ,             1.112 ,                           3.17  ,12:26:44:530766 ,              24.425 ,2022/06/21 12:26:44.481 ,          2.35 ,                 5.1845
16 ,12:26:44:653 ,             2.206 ,              66.0 ,                 27.91  ,             1.792 ,                           3.394 ,12:26:44:672129 ,              26.05  ,2022/06/21 12:26:44.700 ,          2.32 ,                 7.2706
17 ,12:26:44:763 ,             2.317 ,              72.0 ,                 27.612 ,             2.09  ,                           3.625 ,12:26:44:749925 ,              24.425 ,2022/06/21 12:26:44.809 ,          2.31 ,                 6.7442
18 ,12:26:44:883 ,             2.437 ,              80.0 ,                 26.848 ,             2.126 ,                           3.88  ,12:26:44:875013 ,              24.425 ,2022/06/21 12:26:44.914 ,          2.34 ,                 6.5576
19 ,12:26:45:009 ,             2.562 ,              73.0 ,                 27.138 ,             2.068 ,                           4.139 ,12:26:45:046978 ,              26.05  ,2022/06/21 12:26:45.025 ,          2.30 ,                 7.0694
20 ,12:26:45:136 ,             2.688 ,              72.0 ,                 27.38  ,             2.078 ,                           4.402 ,12:26:45:156982 ,              24.425 ,2022/06/21 12:26:45.136 ,          2.29 ,                 6.6876
21 ,12:26:45:260 ,             2.813 ,              71.0 ,                 26.613 ,             2.074 ,                           4.659 ,12:26:45:281416 ,              24.425 ,2022/06/21 12:26:45.246 ,          2.28 ,                 6.5002
22 ,12:26:45:383 ,             2.936 ,              63.0 ,                 25.511 ,             1.946 ,                           4.899 ,12:26:45:359372 ,              24.425 ,2022/06/21 12:26:45.355 ,          2.33 ,                 6.2311
23 ,12:26:45:491 ,             3.044 ,              50.0 ,                 24.945 ,             1.767 ,                           5.091 ,12:26:45:468978 ,              26.05  ,2022/06/21 12:26:45.461 ,          2.34 ,                 6.4982
24 ,12:26:45:632 ,             3.185 ,              36.0 ,                 20.353 ,             1.096 ,                           5.245 ,12:26:45:640347 ,              26.05  ,2022/06/21 12:26:45.678 ,          2.28 ,                 5.302
25 ,12:26:45:770 ,             3.323 ,              37.0 ,                 21.045 ,             1.179 ,                           5.408 ,12:26:45:749719 ,              24.425 ,2022/06/21 12:26:45.786 ,          2.33 ,                 5.1402
26 ,12:26:45:910 ,             3.463 ,              40.0 ,                 20.423 ,             1.094 ,                           5.561 ,12:26:45:937414 ,              24.425 ,2022/06/21 12:26:45.894 ,          2.36 ,                 4.9883
27 ,12:26:46:048 ,             3.601 ,              38.0 ,                 19.957 ,             1.146 ,                           5.719 ,12:26:46:046554 ,              26.05  ,2022/06/21 12:26:46.002 ,          2.32 ,                 5.1988
28 ,12:26:46:173 ,             3.726 ,              37.0 ,                 19.639 ,             1.129 ,                           5.86  ,12:26:46:155840 ,              24.425 ,2022/06/21 12:26:46.221 ,          2.36 ,                 4.7968
29 ,12:26:46:300 ,             3.853 ,              35.0 ,                 19.717 ,             1.051 ,                           5.994 ,12:26:46:296649 ,              26.05  ,2022/06/21 12:26:46.332 ,          2.41 ,                 5.1363
30 ,12:26:46:425 ,             3.977 ,              35.0 ,                 19.444 ,             1.047 ,                           6.124 ,12:26:46:437131 ,              24.425 ,2022/06/21 12:26:46.440 ,          2.44 ,                 4.7492
31 ,12:26:46:533 ,             4.086 ,              34.0 ,                 19.328 ,             1.082 ,                           6.241 ,12:26:46:562776 ,              24.425 ,2022/06/21 12:26:46.549 ,          2.46 ,                 4.7209
32 ,12:26:46:656 ,             4.209 ,              53.0 ,                 24.006 ,             1.371 ,                           6.41  ,12:26:46:672668 ,              26.05  ,2022/06/21 12:26:46.656 ,          2.36 ,                 6.2536
33 ,12:26:46:780 ,             4.333 ,              48.0 ,                 22.178 ,             1.366 ,                           6.579 ,12:26:46:796717 ,              26.05  ,2022/06/21 12:26:46.765 ,          2.42 ,                 5.7774
34 ,12:26:46:887 ,             4.44  ,              38.0 ,                 19.41  ,             1.12  ,                           6.699 ,12:26:46:905732 ,              24.425 ,2022/06/21 12:26:46.872 ,          2.36 ,                 4.7409
35 ,12:26:47:011 ,             4.564 ,              41.0 ,                 20.657 ,             1.169 ,                           6.845 ,12:26:47:000186 ,              24.425 ,2022/06/21 12:26:47.088 ,          2.33 ,                 5.0455
36 ,12:26:47:135 ,             4.688 ,              33.0 ,                 20.707 ,             1.109 ,                           6.982 ,12:26:47:140792 ,              26.05  ,2022/06/21 12:26:47.088 ,          2.33 ,                 5.3942
37 ,12:26:47:274 ,             4.826 ,              39.0 ,                 18.623 ,             1.083 ,                           7.132 ,12:26:47:249708 ,              24.425 ,2022/06/21 12:26:47.303 ,          2.36 ,                 4.5487
38 ,12:26:47:398 ,             4.951 ,              36.0 ,                 19.963 ,             1.119 ,                           7.271 ,12:26:47:421232 ,              26.05  ,2022/06/21 12:26:47.413 ,          2.36 ,                 5.2004
39 ,12:26:47:522 ,             5.075 ,              31.0 ,                 19.947 ,             1.033 ,                           7.399 ,12:26:47:515629 ,              26.05  ,2022/06/21 12:26:47.522 ,          2.34 ,                 5.1962
40 ,12:26:47:664 ,             5.216 ,              40.0 ,                 19.326 ,             1.074 ,                           7.551 ,12:26:47:656513 ,              24.425 ,2022/06/21 12:26:47.632 ,          2.32 ,                 4.7204
41 ,12:26:47:788 ,             5.341 ,              33.0 ,                 19.182 ,             1.087 ,                           7.687 ,12:26:47:796860 ,              26.05  ,2022/06/21 12:26:47.743 ,          2.34 ,                 4.9969
42 ,12:26:47:929 ,             5.482 ,              38.0 ,                 20.047 ,             1.078 ,                           7.838 ,12:26:47:936940 ,              24.425 ,2022/06/21 12:26:47.960 ,          2.35 ,                 4.8965
43 ,12:26:48:055 ,             5.607 ,              34.0 ,                 18.547 ,             1.045 ,                           7.97  ,12:26:48:093883 ,              26.05  ,2022/06/21 12:26:48.070 ,          2.30 ,                 4.8315
44 ,12:26:48:179 ,             5.732 ,              37.0 ,                 19.186 ,             1.129 ,                           8.11  ,12:26:48:171678 ,              26.05  ,2022/06/21 12:26:48.179 ,          2.32 ,                 4.998
45 ,12:26:48:305 ,             5.857 ,              36.0 ,                 20.562 ,             1.076 ,                           8.245 ,12:26:48:311835 ,              24.425 ,2022/06/21 12:26:48.289 ,          2.33 ,                 5.0223
46 ,12:26:48:428 ,             5.981 ,              37.0 ,                 20.321 ,             1.169 ,                           8.39  ,12:26:48:421659 ,              26.05  ,2022/06/21 12:26:48.398 ,          2.37 ,                 5.2936
47 ,12:26:48:587 ,             6.14  ,              36.0 ,                 19.037 ,             1.052 ,                           8.557 ,12:26:48:577570 ,              24.425 ,2022/06/21 12:26:48.618 ,          2.35 ,                 4.6498
48 ,12:26:48:726 ,             6.278 ,              36.0 ,                 19.555 ,             1.071 ,                           8.705 ,12:26:48:718184 ,              26.05  ,2022/06/21 12:26:48.726 ,          2.33 ,                 5.0941
49 ,12:26:48:866 ,             6.419 ,              34.0 ,                 19.221 ,             1.109 ,                           8.862 ,12:26:48:890847 ,              26.05  ,2022/06/21 12:26:48.835 ,          2.32 ,                 5.0071
50 ,12:26:49:022 ,             6.575 ,              39.0 ,                 20.971 ,             1.096 ,                           9.032 ,12:26:49:015714 ,              26.05  ,2022/06/21 12:26:49.053 ,          2.35 ,                 5.4629
51 ,12:26:49:163 ,             6.715 ,              36.0 ,                 18.984 ,             1.054 ,                           9.18  ,12:26:49:171187 ,              26.05  ,2022/06/21 12:26:49.163 ,          2.35 ,                 4.9453
52 ,12:26:49:288 ,             6.841 ,              36.0 ,                 20.279 ,             1.098 ,                           9.318 ,12:26:49:280720 ,              24.425 ,2022/06/21 12:26:49.272 ,          2.34 ,                 4.9531
53 ,12:26:49:427 ,             6.98  ,              38.0 ,                 19.312 ,             1.057 ,                           9.465 ,12:26:49:437063 ,              24.425 ,2022/06/21 12:26:49.381 ,          2.34 ,                 4.717
54 ,12:26:49:536 ,             7.089 ,              35.0 ,                 20.465 ,             1.138 ,                           9.589 ,12:26:49:499775 ,              24.425 ,2022/06/21 12:26:49.489 ,          2.41 ,                 4.9986
55 ,12:26:49:661 ,             7.213 ,              33.0 ,                 18.287 ,             1.0   ,                           9.713 ,12:26:49:671846 ,              26.05  ,2022/06/21 12:26:49.708 ,          2.30 ,                 4.7638
56 ,12:26:49:801 ,             7.353 ,              33.0 ,                 19.133 ,             1.058 ,                           9.862 ,12:26:49:781320 ,              24.425 ,2022/06/21 12:26:49.817 ,          2.34 ,                 4.6732
57 ,12:26:49:941 ,             7.493 ,              39.0 ,                 19.679 ,             1.089 ,                          10.014 ,12:26:49:905819 ,              24.425 ,2022/06/21 12:26:49.925 ,          2.31 ,                 4.8066
58 ,12:26:50:050 ,             7.603 ,              32.0 ,                 18.932 ,             1.03  ,                          10.127 ,12:26:50:108757 ,              24.425 ,2022/06/21 12:26:50.034 ,          2.31 ,                 4.6241
59 ,12:26:50:206 ,             7.759 ,              37.0 ,                 20.236 ,             1.059 ,                          10.292 ,12:26:50:172067 ,              26.05  ,2022/06/21 12:26:50.253 ,          2.33 ,                 5.2715
60 ,12:26:50:332 ,             7.884 ,              30.0 ,                 19.993 ,             1.057 ,                          10.425 ,12:26:50:343475 ,              26.05  ,2022/06/21 12:26:50.362 ,          2.34 ,                 5.2082
61 ,12:26:50:501 ,             8.054 ,              49.0 ,                 20.133 ,             1.21  ,                          10.629 ,12:26:50:468830 ,              26.05  ,2022/06/21 12:26:50.470 ,          2.41 ,                 5.2446
62 ,12:26:50:609 ,             8.162 ,              37.0 ,                 19.061 ,             1.203 ,                          10.759 ,12:26:50:625693 ,              24.425 ,2022/06/21 12:26:50.578 ,          2.31 ,                 4.6556
63 ,12:26:50:734 ,             8.287 ,              34.0 ,                 18.81  ,             1.049 ,                          10.891 ,12:26:50:749417 ,              24.425 ,2022/06/21 12:26:50.688 ,          2.35 ,                 4.5943
64 ,12:26:50:860 ,             8.412 ,              35.0 ,                 20.193 ,             1.038 ,                          11.021 ,12:26:50:859280 ,              24.425 ,2022/06/21 12:26:50.905 ,          2.32 ,                 4.9321
65 ,12:26:50:983 ,             8.536 ,              36.0 ,                 20.684 ,             1.087 ,                          11.155 ,12:26:50:968258 ,              26.05  ,2022/06/21 12:26:50.905 ,          2.32 ,                 5.3882
66 ,12:26:51:138 ,             8.69  ,              35.0 ,                 19.617 ,             1.076 ,                          11.321 ,12:26:51:155815 ,              24.425 ,2022/06/21 12:26:51.122 ,          2.36 ,                 4.7915
67 ,12:26:51:264 ,             8.817 ,              42.0 ,                 19.777 ,             1.182 ,                          11.471 ,12:26:51:265391 ,              26.05  ,2022/06/21 12:26:51.232 ,          2.36 ,                 5.1519
68 ,12:26:51:388 ,             8.94  ,              33.0 ,                 18.923 ,             1.01  ,                          11.596 ,12:26:51:390264 ,              26.05  ,2022/06/21 12:26:51.340 ,          2.37 ,                 4.9294
69 ,12:26:51:529 ,             9.082 ,              36.0 ,                 19.625 ,             1.09  ,                          11.75  ,12:26:51:531360 ,              24.425 ,2022/06/21 12:26:51.559 ,          2.33 ,                 4.7934
70 ,12:26:51:655 ,             9.207 ,              32.0 ,                 18.292 ,             1.021 ,                          11.878 ,12:26:51:624629 ,              24.425 ,2022/06/21 12:26:51.671 ,          2.33 ,                 4.4678
71 ,12:26:51:780 ,             9.333 ,              35.0 ,                 20.091 ,             1.068 ,                          12.012 ,12:26:51:765892 ,              26.05  ,2022/06/21 12:26:51.780 ,          2.33 ,                 5.2337
72 ,12:26:51:906 ,             9.458 ,              38.0 ,                 20.292 ,             1.109 ,                          12.151 ,12:26:51:937627 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.9563
73 ,12:26:52:031 ,             9.584 ,              33.0 ,                 20.465 ,             1.143 ,                          12.294 ,12:26:52:046959 ,              26.05  ,2022/06/21 12:26:51.780 ,          2.33 ,                 5.3311
74 ,12:26:52:187 ,             9.74  ,              38.0 ,                 18.843 ,             1.037 ,                          12.457 ,12:26:52:186925 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.6024
75 ,12:26:52:329 ,             9.882 ,              37.0 ,                 19.919 ,             1.073 ,                          12.609 ,12:26:52:328219 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.8652
76 ,12:26:52:455 ,            10.008 ,              34.0 ,                 17.674 ,             1.052 ,                          12.741 ,12:26:52:452606 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.3169
77 ,12:26:52:578 ,            10.131 ,              32.0 ,                 20.377 ,             1.033 ,                          12.868 ,12:26:52:577604 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.9771
78 ,12:26:52:704 ,            10.257 ,              37.0 ,                 20.463 ,             1.08  ,                          13.005 ,12:26:52:702784 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.9981
79 ,12:26:52:842 ,            10.395 ,              36.0 ,                 18.762 ,             1.035 ,                          13.148 ,12:26:52:734070 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.5826
80 ,12:26:52:965 ,            10.518 ,              37.0 ,                 19.069 ,             1.137 ,                          13.288 ,12:26:52:734070 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.6576
81 ,12:26:53:089 ,            10.642 ,              33.0 ,                 19.332 ,             1.044 ,                          13.417 ,12:26:52:734070 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.7218
82 ,12:26:53:215 ,            10.768 ,              34.0 ,                 20.526 ,             1.446 ,                          13.599 ,12:26:52:734070 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 5.0135
83 ,12:26:53:247 ,            10.8   ,              27.0 ,                 17.139 ,             1.893 ,                          13.659 ,12:26:52:734070 ,              24.425 ,2022/06/21 12:26:51.780 ,          2.33 ,                 4.1862
